,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,Male,19,15,39,2,4
1,Male,21,15,81,2,3
2,Female,20,16,6,2,4
3,Female,23,16,77,2,3
4,Female,31,17,40,2,4
5,Female,22,17,76,2,3
6,Female,35,18,6,2,4
7,Female,23,18,94,2,3
8,Male,64,19,3,2,4
9,Female,30,19,72,2,3
10,Male,67,19,14,2,4
11,Female,35,19,99,2,3
12,Female,58,20,15,2,4
13,Female,24,20,77,2,3
14,Male,37,20,13,2,4
15,Male,22,20,79,2,3
16,Female,35,21,35,2,4
17,Male,20,21,66,2,3
18,Male,52,23,29,2,4
19,Female,35,23,98,2,3
20,Male,35,24,35,2,4
21,Male,25,24,73,2,3
22,Female,46,25,5,2,4
23,Male,31,25,73,2,3
24,Female,54,28,14,2,4
25,Male,29,28,82,2,3
26,Female,45,28,32,2,4
27,Male,35,28,61,2,3
28,Female,40,29,31,2,4
29,Female,23,29,87,2,3
30,Male,60,30,4,2,4
31,Female,21,30,73,2,3
32,Male,53,33,4,2,4
33,Male,18,33,92,2,3
34,Female,49,33,14,2,4
35,Female,21,33,81,2,3
36,Female,42,34,17,2,4
37,Female,30,34,73,2,3
38,Female,36,37,26,2,4
39,Female,20,37,75,2,3
40,Female,65,38,35,2,0
41,Male,24,38,92,2,3
42,Male,48,39,36,2,0
43,Female,31,39,61,2,0
44,Female,49,39,28,2,4
45,Female,24,39,65,2,0
46,Female,50,40,55,2,0
47,Female,27,40,47,2,0
48,Female,29,40,42,2,0
49,Female,31,40,42,2,0
50,Female,49,42,52,2,0
51,Male,33,42,60,2,0
52,Female,31,43,54,2,0
53,Male,59,43,60,2,0
54,Female,50,43,45,2,0
55,Male,47,43,41,2,0
56,Female,51,44,50,2,0
57,Male,69,44,46,2,0
58,Female,27,46,51,0,0
59,Male,53,46,46,0,0
60,Male,70,46,56,0,0
61,Male,19,46,55,0,0
62,Female,67,47,52,0,0
63,Female,54,47,59,0,0
64,Male,63,48,51,0,0
65,Male,18,48,59,0,0
66,Female,43,48,50,0,0
67,Female,68,48,48,0,0
68,Male,19,48,59,0,0
69,Female,32,48,47,0,0
70,Male,70,49,55,0,0
71,Female,47,49,42,0,0
72,Female,60,50,49,0,0
73,Female,60,50,56,0,0
74,Male,59,54,47,0,0
75,Male,26,54,54,0,0
76,Female,45,54,53,0,0
77,Male,40,54,48,0,0
78,Female,23,54,52,0,0
79,Female,49,54,42,0,7
80,Male,57,54,51,0,0
81,Male,38,54,55,0,0
82,Male,67,54,41,0,7
83,Female,46,54,44,0,7
84,Female,21,54,57,0,0
85,Male,48,54,46,0,0
86,Female,55,57,58,0,0
87,Female,22,57,55,0,0
